chroma_stft,rmse,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,label
0.468817472,0.034564562,2658.114026,3260.136045,5388.603235,0.041204385,-429.36203,61.71081161,7.411600113,-0.007620815,-2.128190994,4.85660553,11.85423183,-6.93907547,-14.48489285,-6.120116234,-8.809686661,-7.47753191,-4.861636162,-10.39568996,-7.667921066,-4.758739948,-6.872614861,-0.774473608,2.657160759,-1.943016171,COVID
0.260100782,0.066667914,1757.105257,2095.908074,3457.182135,0.03447098,-441.4805298,54.51366425,8.629434586,31.94282913,11.01218319,-5.12641716,4.627100468,-15.28050613,-15.50872803,-0.893622518,-12.96081638,-16.43702888,-14.32656765,-14.29841423,-4.399078369,-7.411472321,-7.460622787,2.417631388,-7.740851402,-9.543079376,COVID
0.218073875,0.031692654,994.7085135,990.8677146,1891.154661,0.021327132,-439.1596069,56.94495773,-15.96382332,-5.092739582,0.847092092,-10.84195709,-1.411097527,-3.40227747,-14.40411472,-8.37635994,-4.167668819,-5.698591232,-3.953516483,-4.591991901,-3.005873203,0.466291606,-0.164106533,0.875370681,-0.020535011,-5.127129078,COVID
0.413674444,0.022238128,1780.796929,1647.321789,3324.100379,0.041444721,-439.3624878,101.8213882,-31.33226776,-2.60349369,6.782754898,-17.54826546,-1.047182202,-2.587890148,-13.86778069,-6.062622547,-7.749370098,-4.700433731,0.40587762,-9.334532738,-7.482300282,-1.404160976,-7.613800049,-7.437711239,-5.303769588,-8.345300674,COVID
0.259479225,0.022621201,1027.225698,1008.755312,1838.907748,0.021765176,-491.3114929,73.25600433,-14.90853405,-12.04444313,2.13149333,-3.08968401,0.898130596,-3.25088501,-10.53709698,-4.77891922,-0.87664932,-0.77414757,-1.635124564,-7.216749191,-8.630430222,-4.892407894,-3.77972436,-4.035893917,-4.634977818,-5.569863319,COVID
0.499659806,0.04784479,2692.303099,3025.394909,4998.053074,0.066359488,-454.194458,100.1705551,-25.24164009,10.53782463,20.45388222,-7.602198601,-3.149885416,-2.015489578,-2.783715248,-3.973423243,-6.326915741,1.199301958,-0.447160453,-2.892724276,-0.94734323,-5.700672626,-1.534885645,-0.007328059,-7.738412857,-4.146610737,COVID
0.364686787,0.016267369,3266.689086,3639.543567,6406.861655,0.06023931,-539.6530151,65.4114151,-7.790442944,10.79675579,3.990722656,-18.87052345,-12.42228985,-11.58223152,-6.091381073,1.73115027,-4.768437386,0.069803804,2.266501665,-7.464888096,-0.445599049,6.155125618,-0.918928385,-4.892756939,-8.099571228,-4.497795105,COVID
0.325724095,0.061583694,1992.03387,1643.566901,3438.691508,0.056823413,-372.528656,107.7702255,-47.37823105,-12.86609268,2.739647388,-17.92016602,-7.264130592,-15.91624737,-11.2617321,9.259666443,-1.490627408,-7.009669781,0.671094,-0.08918231,0.043987572,-4.780228138,-8.158576965,-4.205643177,-7.149337292,-7.576740742,COVID
0.432079464,0.014003536,2358.603421,2905.080903,5201.380156,0.025414204,-518.3396606,66.21057129,-10.98066902,4.090958118,-2.789101124,-11.71890163,4.346782684,-8.112700462,-13.16474628,0.726392269,-3.347870111,-4.062371254,-2.860841751,-9.988434792,-4.069375992,1.29509902,-2.540858507,-2.434115887,-4.360224247,-4.539726734,COVID
0.311579853,0.036239244,1158.421327,1211.101744,1697.349222,0.033832001,-480.5933838,102.5383148,-13.18959332,-31.0848999,15.94660854,23.43255043,-6.131482124,-14.57175064,-5.883589268,-8.519550323,-10.62657166,-1.676385164,-1.476449013,-12.67633438,-12.80106449,-2.577216625,-2.372117758,-9.352755547,-7.842163563,-2.82642889,COVID
0.446788371,0.020437986,3035.67048,3810.293139,6292.150353,0.054176727,-453.1965942,54.1995163,-0.273024678,2.333482027,-10.65259266,-9.992588043,-5.756045818,-6.822219372,-2.885277987,-10.04520226,-12.3062458,-6.434997082,-3.705603361,-1.607203841,-0.879425645,-2.270823717,-2.419268847,-0.087636389,-1.441658378,-3.198173285,COVID
0.355082631,0.079950713,1897.869427,1903.006802,3327.747736,0.045317805,-366.8907166,101.2307892,-2.733959436,14.26382732,22.27960968,-6.185480118,-11.05807686,-17.77009201,-22.71479416,-9.0542202,-4.521361351,-5.411002636,-1.795286417,-5.863159657,-5.801888466,0.759937882,-1.869856715,-6.675479412,-6.479379654,-5.025327682,COVID
0.172532439,0.095530123,751.591466,711.5388321,1317.903037,0.015576324,-443.3910522,58.88149261,-19.93811607,0.632530332,2.700170517,-10.69571304,-2.009128332,-5.228343964,-4.070361614,2.168682814,-3.544131994,-1.755732775,-0.014238399,-3.475204945,0.043929245,-0.601772487,-3.375221729,-1.569959044,-2.184174538,-1.43296659,COVID
0.392703623,0.027932828,2249.542425,2986.511436,3982.740826,0.050815295,-424.3652039,58.6312027,0.62395066,4.11831665,-11.18219852,-9.363761902,-9.760688782,-15.5907917,-9.53085041,-13.73278904,-8.942471504,1.001207113,1.615939736,1.1735183,-0.167568415,-1.209904432,0.284726024,1.917874932,-2.064838171,-5.718657017,COVID
0.240800947,0.028337106,1562.036317,1908.179429,2860.053119,0.026428112,-481.8541565,62.79203796,7.415405273,-0.914470673,2.876438618,-1.800372601,-6.052629948,-13.09456253,-15.85085297,-10.32314587,-6.201668262,-4.273993969,-3.747728109,-4.630884171,-3.785427332,-4.074108601,-5.60841608,-4.794604778,-3.728693962,-3.362450838,COVID
0.402985901,0.00333248,2495.3701,2574.899593,5003.503617,0.02305076,-702.6699829,40.37075424,-8.050263405,7.182676315,3.19952035,-5.437504768,6.672606468,-2.496738434,-9.27920723,3.237007141,1.216048002,-3.532291174,0.312317729,-1.74696672,-2.04481411,-0.7951262,-3.161550045,-0.706724107,0.918158591,-1.745022058,COVID
0.519642591,0.022088412,3556.357145,3311.046525,7062.115148,0.035436871,-471.8453979,67.68218231,-17.56179047,0.701525331,8.612393379,-3.300666809,3.020065546,0.080683,-1.701583147,-3.675224066,-14.09109497,-5.800718784,3.09635067,-5.568521976,-7.713353157,-4.896767616,-2.573931694,1.376304746,-2.388365269,-3.3769238,COVID
0.391767055,0.063197687,1969.381064,2069.081257,3670.245054,0.059674526,-335.8309326,122.8788376,-13.26066494,6.115517139,-0.986823797,-4.456620216,16.42660522,-4.420116425,-13.14422321,-3.613656282,-10.23781967,-4.903105259,2.311584949,-6.305231571,-3.937004805,3.404436827,-3.086655855,-1.875722766,2.231154442,-4.723659515,COVID
0.399322838,0.002056561,3406.914397,4103.641751,6521.868393,0.062447352,-665.1207886,76.47138977,-4.329578876,7.046797752,8.951347351,-14.62745285,-7.728504181,-4.315110683,-17.02817917,-11.98846626,-1.93231988,-3.935553551,-4.412896156,0.638183355,0.7874735,-5.279837608,-5.647927761,-0.524353862,-2.427449942,-5.790036678,COVID
0.430771381,0.003944675,4406.104177,4482.420524,8961.021596,0.059942436,-610.3599243,53.46873474,-10.05649757,1.737538934,1.424706697,-5.551983356,3.834271431,-4.898988724,-8.867459297,-3.362504959,-10.65208912,-4.988218307,4.583786011,-4.364472866,-4.805040359,0.617811143,-4.778665543,-4.148663521,-0.534928799,-4.418412685,COVID
0.368147552,0.04080268,4020.75404,2128.482953,5862.794453,0.179607357,-382.9494324,61.10558319,-45.88081741,20.9747963,-15.83097458,-41.14748764,19.23381042,-4.255331039,-22.36494255,4.518014908,-14.54790497,-7.790550232,12.84805679,-8.872921944,-3.88821578,6.551992893,-9.756959915,-2.474099874,4.15123558,-6.334302902,COVID
0.355257481,0.021457318,3455.41904,2764.691484,5642.648381,0.119632419,-461.9544678,58.98209,-15.4910059,19.08907509,-1.550648808,-21.28722954,4.117971897,-10.98782253,-14.42736626,3.620149612,-11.15594673,-9.533950806,1.776193976,-11.83815765,-8.44668293,-0.028177019,-8.4669981,-4.908470154,-0.823337257,-6.548774242,COVID
